participant_number,version,fun_studying_languages,boring_spanish_class,interesting_spanish_cultures,interesting_studying_languages,difficult_classroom_learning,valuable,no_accent,important_spanish,beautiful,codeswitch_rude,smarter_two_languages,started_younger,like_becoming_bilingual,admire_multilinguals,like_langauges,interest_languages,like_spanish,like_hearing_spanish,communicating_spanish_speakers,excited_spanish_class,outside_engagement,spanish_favorite_class,worldview,acceptable_monolingualism,learn_not_abroad,multilingualism_asset,schools_teach,connect_with_people,future_career,effort,can_become_bilingual,family_languages,family_languages,english_first_language,eng_first_language_and_other,eng_not_first_language,age,gender,years_studying_spanish,current_class,university,other_language_study,other_languages
146,1,3,4,5,5,3,5,4,4,4,4,4,5,5,5,4,5,4,5,4,3,4,3,3,3,3,1,3,1,1,1,1,1,SP,1.5,SP,,25,2,5,4,NIU,2,
147,1,2,3,4,1,2,5,4,5,5,5,5,5,4,5,2,1,5,5,5,2,5,3,1,3,1,1,1,1,3,3,1,1,SP,1.5,SP,,20,4,2,4,UW,2,
148,1,1,1,2,1,2,5,4,4,4,3,2,5,2,4,1,1,1,2,2,1,1,1,4,4,1,1,3,1,1,4,2,2,,1.0,,,20,1,2,4,NIU,1,ASL
149,1,4,4,4,4,4,3,4,3,5,4,2,4,5,5,5,5,5,5,4,3,4,4,1,2,1,1,3,1,3,1,1,2,,1.0,,,19,1,5,4,NIU,1,"FR, HB"
150,1,3,4,4,3,2,5,5,4,5,5,5,2,4,5,3,3,3,3,3,2,3,3,3,1,1,1,1,1,2,1,2,2,,1.0,,,22,1,5,4,NIU,1,ASL
151,1,2,4,2,2,1,3,4,2,3,5,2,4,4,4,3,3,3,2,3,2,3,2,4,4,3,3,3,1,1,3,2,2,,1.0,,,33,1,1,4,NIU,1,ASL
152,1,5,5,5,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,3,4,3,5,4,2,1,1,1,1,3,1,1,2,,1.0,,,21,2,4,4,UW,1,IT
153,1,3,4,4,4,4,4,5,4,4,5,5,4,4,5,3,3,4,3,2,3,1,3,1,2,1,1,1,1,1,3,2,2,,1.0,,,20,1,3,4,UW,1,LT
154,1,4,4,4,4,3,5,5,4,3,5,4,5,5,5,4,5,5,4,2,4,2,4,3,2,1,1,1,1,1,1,1,2,,1.0,,,20,1,5,4,UW,1,FR
155,1,4,5,5,5,4,5,5,5,4,5,1,5,5,4,5,5,5,4,4,4,3,5,3,2,1,1,1,1,1,1,1,2,,1.0,,,18,2,4,4,UW,1,"FR, GR"
156,1,3,5,3,3,3,5,5,3,4,4,3,5,4,4,5,4,3,5,2,3,3,3,3,2,1,1,4,1,3,1,1,2,,1.0,,,22,2,3,4,NIU,2,
157,1,3,4,5,3,4,5,5,5,5,5,4,4,5,5,4,4,5,4,5,3,4,4,3,3,1,1,1,1,1,1,1,2,,1.0,,,30,1,4,4,NIU,2,
158,1,2,4,3,2,3,5,4,4,4,4,4,5,4,3,4,4,4,3,3,3,2,3,3,2,3,3,3,1,1,3,2,2,,1.0,,,20,1,4,4,NIU,2,
159,1,2,4,4,2,3,4,4,4,4,5,4,4,4,5,2,3,3,4,3,2,3,2,3,3,1,1,3,1,3,1,1,2,,1.0,,,20,1,2,4,NIU,2,
160,1,3,4,3,3,3,5,4,5,5,5,4,5,4,5,3,3,3,3,2,3,4,2,3,4,1,1,1,1,1,1,3,2,,1.0,,,24,1,3,4,NIU,2,
161,1,3,5,4,4,4,4,5,4,3,4,1,5,5,5,4,5,4,4,2,3,3,3,3,2,3,1,1,1,1,1,1,2,,1.0,,,21,1,2,4,UW,2,
162,1,5,5,3,5,4,4,5,2,2,5,1,5,5,5,5,5,3,5,5,3,3,2,2,2,1,1,1,1,1,1,1,2,,1.0,,,19,2,5,4,UW,2,
163,1,3,4,4,3,4,4,4,5,4,5,4,2,5,5,3,5,4,4,4,4,4,5,3,4,3,1,3,1,1,1,1,2,,1.0,,,20,1,5,4,UW,2,
164,1,3,5,4,3,4,4,4,5,3,5,1,5,5,5,3,4,4,4,2,3,1,4,1,2,1,1,1,3,1,1,1,2,,1.0,,,18,2,4,4,UW,2,
165,1,3,5,3,4,4,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,2,4,1,3,1,1,1,1,1,1,1,2,,1.0,,,21,1,4,4,UW,2,
166,1,2,5,4,4,2,5,5,4,3,5,2,5,5,5,3,4,4,4,4,3,3,3,1,3,1,1,1,1,3,1,1,2,,1.0,,,20,1,4,4,UW,2,
167,1,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,3,1,1,1,1,1,1,1,2,,1.0,,,21,1,5,4,UW,2,
168,1,3,4,3,3,4,5,5,4,3,5,3,4,4,5,4,4,3,3,4,3,3,3,1,2,1,1,1,1,3,1,3,2,,1.0,,,20,1,3,4,UW,2,
169,1,4,5,5,4,4,5,5,4,5,5,4,5,5,5,5,5,5,5,4,4,3,4,3,2,1,1,1,1,1,1,1,2,,1.0,,,20,1,5,4,UW,2,
170,1,3,5,4,4,2,4,4,4,2,5,4,5,4,5,3,3,4,4,4,4,3,5,1,3,1,1,1,2,1,3,2,2,,1.0,,,21,2,3,4,UW,2,
171,2,3,2,4,2,5,5,4,5,4,4,4,4,4,3,3,3,5,4,3,1,3,2,1,3,3,1,1,1,1,1,1,1,FR,1.0,,,23,2,5,4,NIU,1,FR
172,2,1,4,3,2,3,4,4,2,3,5,3,4,4,3,2,3,3,3,2,2,1,1,3,2,3,1,1,2,2,3,2,1,GK,1.0,,,25,2,3,4,NIU,1,EN
173,2,1,3,3,1,3,5,5,3,2,5,4,5,3,5,1,2,2,2,2,1,1,1,3,2,1,1,1,3,1,3,2,1,GK,1.0,,,21,1,3,4,NIU,1,GR
174,2,4,5,4,4,4,4,5,4,5,5,3,3,5,4,5,4,5,5,5,4,2,5,1,3,1,1,4,1,3,1,1,1,GU,1.0,,,19,2,5,4,UW,2,
175,2,2,4,2,3,3,4,4,3,3,5,3,3,5,4,3,3,3,2,3,3,2,2,3,2,3,1,1,1,1,3,1,1,"CH, FR, SP",1.0,,,18,2,5,4,UW,1,"FR, GR, JP"
176,2,3,4,5,5,4,4,5,3,5,5,3,5,5,5,5,5,5,5,5,4,3,4,3,3,1,1,1,1,1,1,1,1,SP,1.0,,,19,2,4,4,UW,2,
177,2,3,4,4,3,4,4,4,2,3,5,5,4,5,5,4,4,5,4,3,3,2,4,1,2,1,1,4,1,1,1,1,1,SP,1.0,,,19,1,5,4,UW,2,
178,2,3,4,4,4,3,5,3,3,5,5,4,5,5,5,4,5,4,4,5,3,2,4,1,2,1,1,4,4,4,4,4,1,SP,1.0,,,19,2,5,4,UW,2,
179,2,3,5,5,4,5,5,3,3,5,5,3,5,5,5,3,4,4,5,4,3,4,3,1,3,1,1,1,1,1,1,1,1,"SP, GR",1.0,,,21,1,3,4,UW,2,
180,2,2,4,5,2,4,4,2,4,5,4,4,4,5,4,3,3,5,4,5,2,4,3,1,2,1,1,3,1,1,1,1,1,SP,1.5,SP,,18,1,4,4,UW,1,GR
181,2,5,5,5,5,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,BG,2.0,,BG,19,1,5,4,UW,1,BG
182,2,3,5,5,4,4,5,5,4,4,5,5,2,5,4,5,5,5,5,5,4,4,4,1,1,1,1,1,1,1,1,1,1,SP,2.0,,SP,18,2,4,4,UW,2,
183,2,3,4,4,4,4,5,3,5,5,5,4,5,5,4,4,5,5,4,3,3,3,3,1,3,1,1,1,1,1,1,1,2,,1.0,,,19,1,4,4,NIU,1,IT
184,2,3,4,3,3,4,3,5,4,3,5,4,4,3,4,4,4,4,3,3,3,3,3,3,2,3,1,3,1,1,1,3,2,,1.0,,,20,1,4,4,UW,1,"GR, CH"
185,2,4,4,4,4,4,3,4,2,3,4,3,2,5,4,4,4,3,3,3,2,4,2,1,4,1,3,1,1,1,1,1,2,,1.0,,,18,1,5,4,UW,1,"GR, NW"
186,2,4,4,4,4,5,5,3,3,3,4,3,5,4,4,4,5,4,3,4,3,3,4,1,2,3,1,3,1,3,1,1,2,,1.0,,,21,2,2,4,UW,1,FR
187,2,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,3,1,1,1,1,1,1,1,1,2,,1.0,,,19,3,5,4,UW,1,"FR, GK, LT"
188,2,2,4,2,3,3,4,5,3,3,5,2,5,5,5,3,4,4,4,4,3,3,3,4,2,3,1,3,1,1,1,3,2,,1.0,,,21,2,2,4,UW,1,IT
189,2,3,4,3,3,3,5,5,5,3,5,4,5,5,5,5,5,3,3,3,3,3,3,1,4,1,1,1,1,1,1,1,2,,1.0,,,33,2,2,4,NIU,2,
190,2,1,4,4,3,4,5,5,5,5,5,4,5,5,5,2,4,3,5,4,2,2,1,1,1,1,1,1,1,1,1,3,2,,1.0,,,21,1,3,4,NIU,2,
191,2,3,4,3,4,5,4,5,4,3,5,4,4,5,5,3,5,5,4,4,3,2,4,1,3,1,1,1,1,1,1,1,2,,1.0,,,22,1,5,4,NIU,2,
192,2,3,4,3,4,2,3,5,3,5,2,3,5,4,5,4,4,3,4,5,,3,3,1,2,1,1,1,1,1,1,1,2,,1.0,,,22,1,4,4,NIU,2,
193,2,2,4,2,2,4,5,5,3,2,5,4,3,3,1,3,1,3,1,1,1,1,1,1,2,3,1,2,4,4,4,4,2,,1.0,,,22,1,4,4,NIU ,2,
194,2,2,4,5,2,2,4,4,2,3,5,4,5,5,5,2,4,3,3,3,3,2,2,1,2,3,1,1,3,1,3,2,2,,1.0,,,21,2,5,4,UW,2,
195,2,4,4,4,4,3,3,4,3,3,5,4,3,5,5,4,4,4,4,4,4,2,4,1,2,1,1,1,1,3,1,3,2,,1.0,,,18,2,5,4,UW,2,
196,2,5,4,5,5,4,5,3,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,1,3,1,1,1,1,1,1,1,2,,1.0,,,20,1,5,4,UW,2,
197,2,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,1,1,1,1,1,1,1,1,1,2,,1.0,,,21,1,2,4,UW,2,
198,2,3,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,3,3,1,2,1,1,1,1,1,1,3,2,,1.0,,,20,1,4,4,UW,2,
199,2,3,5,5,4,4,4,5,2,5,5,4,4,5,5,4,5,4,5,3,4,4,3,1,2,1,1,1,1,1,1,1,2,,1.0,,,20,1,5,4,UW,2,
200,2,4,4,5,4,4,5,3,5,5,4,5,5,5,5,5,5,5,5,5,4,3,3,1,1,1,1,1,1,1,1,1,2,,1.0,,,21,1,4,4,UW,2,
201,2,3,5,4,3,4,5,5,4,5,5,4,5,5,5,4,4,5,5,5,3,3,3,1,4,1,1,1,1,3,1,3,2,,1.0,,,22,1,5,4,UW,2,
