"","participant_number","version","family_languages.1","english_first_language","eng_first_language_and_other","eng_not_first_language","age","gender","years_studying_spanish","current_class","university","other_language_study","other_languages","prompt","rating","question_type"
"75",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","smarter_two_languages",2,"semi_affected_questions"
"76",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","started_younger",3,"semi_affected_questions"
"77",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","become_bilingual",3,"directly_affected_questions"
"78",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","admire_multilinguals",4,"semi_affected_questions"
"79",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","like_langauges",3,"semi_affected_questions"
"80",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","interest_languages",3,"semi_affected_questions"
"81",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","like_spanish",3,"semi_affected_questions"
"82",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","like_hearing_spanish",3,"semi_affected_questions"
"83",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","communicating_spanish_speakers",2,"semi_affected_questions"
"84",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","excited_spanish_class",3,"least_affected_questions"
"85",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","outside_engagement",3,"least_affected_questions"
"86",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","spanish_favorite_class",3,"least_affected_questions"
"87",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","worldview",3,"semi_affected_questions"
"88",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","acceptable_mo2lingualism",2,NA
"89",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","learn_2t_abroad",3,NA
"90",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","multilingualism_asset",1,"directly_affected_questions"
"91",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","schools_teach",1,"directly_affected_questions"
"92",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","connect_with_people",1,"directly_affected_questions"
"93",3,1,"SP",1,"","",22,1,3,1,"NIU",2,"","future_career",1,"directly_affected_questions"
